open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2026-01-28 15:00:00,89617.27,89849.75,89090.0,89101.77,314.04408,2026-01-28 15:14:59.999,28089852.86728900,135799,123.29739000,11034374.09200160,0
2026-01-28 15:15:00,89100.0,89344.06,88904.61,89267.94,391.38466,2026-01-28 15:29:59.999,34891524.79738750,139021,192.26770000,17141187.12302610,0
2026-01-28 15:30:00,89267.94,89540.36,89230.73,89500.01,149.84616,2026-01-28 15:44:59.999,13396152.87579150,81897,85.60654000,7653167.56603110,0
2026-01-28 15:45:00,89500.01,89634.2,89317.68,89479.66,143.60886,2026-01-28 15:59:59.999,12848338.08217060,72681,68.99413000,6174617.09429430,0
2026-01-28 16:00:00,89479.66,89523.0,89248.61,89264.94,139.23125,2026-01-28 16:14:59.999,12445650.94083180,72464,55.71666000,4980317.68921220,0
2026-01-28 16:15:00,89264.94,89758.0,89249.75,89748.93,177.19678,2026-01-28 16:29:59.999,15860205.71601050,68214,95.14381000,8517453.91645890,0
2026-01-28 16:30:00,89748.92,89830.0,89470.47,89552.1,314.78731,2026-01-28 16:44:59.999,28220386.09074750,84921,222.81829000,19974958.12533070,0
2026-01-28 16:45:00,89552.11,89753.42,89510.0,89629.66,113.64777,2026-01-28 16:59:59.999,10188908.33741430,55021,61.54132000,5517537.94353870,0
2026-01-28 17:00:00,89629.66,89791.19,89583.31,89727.9,90.98916,2026-01-28 17:14:59.999,8161233.25403960,47889,43.72569000,3921913.37320980,0
2026-01-28 17:15:00,89727.9,89746.8,89560.0,89593.88,58.56994,2026-01-28 17:29:59.999,5250328.57855630,37586,20.36203000,1825283.49771690,0
2026-01-28 17:30:00,89593.88,89990.6,89277.21,89857.68,236.06467,2026-01-28 17:44:59.999,21150588.80101200,70075,141.88965000,12717662.60071310,0
2026-01-28 17:45:00,89857.68,90600.0,89831.82,90169.88,537.70258,2026-01-28 17:59:59.999,48527228.15153570,93196,318.10045000,28703733.05568580,0
2026-01-28 18:00:00,90169.89,90178.91,89498.25,89816.5,404.08017,2026-01-28 18:14:59.999,36290712.20852620,94780,157.47362000,14137273.66985840,0
2026-01-28 18:15:00,89816.51,89945.33,89710.0,89770.32,103.74498,2026-01-28 18:29:59.999,9321702.28345610,44968,53.29869000,4789183.47455300,0
2026-01-28 18:30:00,89770.32,89817.8,89579.0,89640.01,76.17419,2026-01-28 18:44:59.999,6831279.03823920,41581,31.86541000,2857370.43829450,0
2026-01-28 18:45:00,89640.0,89665.88,89312.88,89546.24,164.51213,2026-01-28 18:59:59.999,14722989.46975330,46607,56.72191000,5077319.31319740,0
2026-01-28 19:00:00,89544.0,89719.58,89073.2,89361.26,448.02234,2026-01-28 19:14:59.999,40045403.36447800,159202,198.54598000,17751344.77018420,0
2026-01-28 19:15:00,89361.26,89627.38,89277.37,89403.69,90.39693,2026-01-28 19:29:59.999,8088820.61799990,86068,45.39818000,4062470.63333130,0
